x,y
-217.54123,279.6879
-162.8711,407.95557
-132.65665,325.0625
-77.73226,172.43729
-29.403494,36.992207
12.340467,-79.73156
47.510452,-176.19287
69.37543,-233.59705
82.040085,-265.18604
93.06734,-290.84247
102.45854,-310.37384
108.37805,-320.68484
111.84787,-325.67603
114.90946,-329.0276
117.56295,-330.7154
118.71973,-330.85706
120.08302,-330.82733
122.601,-330.31628
124.918564,-328.9853
127.0912,-326.52545
129.1744,-322.62775
131.22362,-316.9834
133.29436,-309.2834
135.4421,-299.21878
138.90247,-279.40466
144.32568,-241.38101
154.80261,-157.7537
164.67188,-74.325195
203.42285,271.4226
204.35658,280.51782
204.87828,293.19843
204.78378,301.1676
204.31958,308.73145
203.49442,315.8992
202.31705,322.68024
200.79625,329.08392
198.94072,335.1195
196.75928,340.7964
194.26062,346.12384
191.45352,351.1112
188.34676,355.76785
184.94905,360.10303
181.26918,364.1261
177.31589,367.84637
170.92389,372.9145
161.48184,378.65036
151.1037,383.343
139.8595,387.067
127.81923,389.89697
115.05298,391.90756
101.63075,393.1733
87.62259,393.76892
80.400635,393.81543
17.946777,394.06567
-10.135498,407.95947
520.1887,407.95947
497.4226,393.8518
433.60425,393.8518
